ticker,cik,company_name,ipo_date,sector,industry,sec_sect,sec_ind,state_incorp
A,1090872,AGILENT TECHNOLOGIES INC,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments, LABORATORY ANALYTICAL INSTRUMENTS, LABORATORY ANALYTICAL INSTRUMENTS,DE
AA,1675149,Alcoa Corp,2016,Basic Industries,Aluminum, PRIMARY PRODUCTION OF ALUMINUM, PRIMARY PRODUCTION OF ALUMINUM,DE
AAC,1606180,AAC Holdings  Inc.,2014,Health Care,Medical Specialities, SERVICES,SPECIALTY OUTPATIENT FACILITIES_ NEC,NV
AAL,6201,American Airlines Group Inc.,n/a,Transportation,Air Freight/Delivery Services, AIR TRANSPORTATION_ SCHEDULED, AIR TRANSPORTATION_ SCHEDULED,DE
AAMC,1555074,Altisource Asset Management Corp,n/a,Finance,Real Estate, REAL ESTATE, REAL ESTATE,VI
AAN,706688,AARON'S INC,n/a,Technology,Diversified Commercial Services, SERVICES,EQUIPMENT RENTAL & LEASING_ NEC,GA
AAOI,1158114,APPLIED OPTOELECTRONICS  INC.,2013,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,DE
AAON,824142,AAON INC,n/a,Capital Goods,Industrial Machinery/Components, AIR COND & WARM AIR HEATING EQUIP & COMM & INDL REFRIG EQUIP, AIR COND & WARM AIR HEATING EQUIP & COMM & INDL REFRIG EQUIP,NV
AAP,1158449,ADVANCE AUTO PARTS INC,n/a,Consumer Services,Other Specialty Stores, RETAIL,AUTO & HOME SUPPLY STORES,DE
AAPL,320193,APPLE INC,1980,Technology,Computer Manufacturing, ELECTRONIC COMPUTERS, ELECTRONIC COMPUTERS,CA
AAT,1500217,American Assets Trust  Inc.,2011,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
AAWW,1135185,ATLAS AIR WORLDWIDE HOLDINGS INC,n/a,Transportation,Transportation Services, AIR TRANSPORTATION_ NONSCHEDULED, AIR TRANSPORTATION_ NONSCHEDULED,DE
